,Undisturbed forest  ,Logged over forest-high density ,Logged over forest-low density ,Undisturbed swamp forest ,Logged over swamp forest ,Undisturbed mangrove,Logged over mangrove ,Industrial timber,Mixed garden ,Coffee agroforest,Rubber agroforest  ,Rubber monoculture ,Oil palm,Oil palm  small scale,Coconut,Tea,Irrigated rice,Paddy field,Sugar cane,Other crops ,Shrub ,Grass ,Mining,Cleared land ,Settlement ,Fish pond,Water body
Undisturbed forest  ,0,0.09375,0.125,0.03125,0.15625,0.0625,0.1875,0.59375,0.3125,0.375,0.34375,0.5,0.625,0.625,0.5625,0.65625,0.6875,0.71875,0.75,0.78125,0.53125,0.8125,0.9375,0.96875,1,1,1
Logged over forest-high density ,0.09375,0,0.03125,0.0625,0.0625,0.03125,0.09375,0.5,0.21875,0.28125,0.25,0.40625,0.53125,0.53125,0.46875,0.5625,0.59375,0.625,0.65625,0.6875,0.4375,0.71875,0.84375,0.875,0.90625,1,1
Logged over forest-low density ,0.125,0.03125,0,0.09375,0.03125,0.0625,0.0625,0.46875,0.1875,0.25,0.21875,0.375,0.5,0.5,0.4375,0.53125,0.5625,0.59375,0.625,0.65625,0.40625,0.6875,0.8125,0.84375,0.875,1,1
Undisturbed swamp forest ,0.03125,0.0625,0.09375,0,0.125,0.03125,0.15625,0.5625,0.28125,0.34375,0.3125,0.46875,0.59375,0.59375,0.53125,0.625,0.65625,0.6875,0.71875,0.75,0.5,0.78125,0.90625,0.9375,0.96875,1,1
Logged over swamp forest ,0.15625,0.0625,0.03125,0.125,0,0.09375,0.03125,0.4375,0.15625,0.21875,0.1875,0.34375,0.46875,0.46875,0.40625,0.5,0.53125,0.5625,0.59375,0.625,0.375,0.65625,0.78125,0.8125,0.84375,1,1
Undisturbed mangrove,0.0625,0.03125,0.0625,0.03125,0.09375,0,0.125,0.53125,0.25,0.3125,0.28125,0.4375,0.5625,0.5625,0.5,0.59375,0.625,0.65625,0.6875,0.71875,0.46875,0.75,0.875,0.90625,0.9375,1,1
Logged over mangrove ,0.1875,0.09375,0.0625,0.15625,0.03125,0.125,0,0.40625,0.125,0.1875,0.15625,0.3125,0.4375,0.4375,0.375,0.46875,0.5,0.53125,0.5625,0.59375,0.34375,0.625,0.75,0.78125,0.8125,1,1
Industrial timber,0.59375,0.5,0.46875,0.5625,0.4375,0.53125,0.40625,0,0.28125,0.21875,0.25,0.09375,0.03125,0.03125,0.03125,0.0625,0.09375,0.125,0.15625,0.1875,0.0625,0.21875,0.34375,0.375,0.40625,1,1
Mixed garden ,0.3125,0.21875,0.1875,0.28125,0.15625,0.25,0.125,0.28125,0,0.0625,0.03125,0.1875,0.3125,0.3125,0.25,0.34375,0.375,0.40625,0.4375,0.46875,0.21875,0.5,0.625,0.65625,0.6875,1,1
Coffee agroforest,0.375,0.28125,0.25,0.34375,0.21875,0.3125,0.1875,0.21875,0.0625,0,0.03125,0.125,0.25,0.25,0.1875,0.28125,0.3125,0.34375,0.375,0.40625,0.15625,0.4375,0.5625,0.59375,0.625,1,1
Rubber agroforest  ,0.34375,0.25,0.21875,0.3125,0.1875,0.28125,0.15625,0.25,0.03125,0.03125,0,0.15625,0.28125,0.28125,0.21875,0.3125,0.34375,0.375,0.40625,0.4375,0.1875,0.46875,0.59375,0.625,0.65625,1,1
Rubber monoculture ,0.5,0.40625,0.375,0.46875,0.34375,0.4375,0.3125,0.09375,0.1875,0.125,0.15625,0,0.125,0.125,0.0625,0.15625,0.1875,0.21875,0.25,0.28125,0.03125,0.3125,0.4375,0.46875,0.5,1,1
Oil palm,0.625,0.53125,0.5,0.59375,0.46875,0.5625,0.4375,0.03125,0.3125,0.25,0.28125,0.125,0,0,0.0625,0.03125,0.0625,0.09375,0.125,0.15625,0.09375,0.1875,0.3125,0.34375,0.375,1,1
Oil palm  small scale,0.625,0.53125,0.5,0.59375,0.46875,0.5625,0.4375,0.03125,0.3125,0.25,0.28125,0.125,0,0,0.0625,0.03125,0.0625,0.09375,0.125,0.15625,0.09375,0.1875,0.3125,0.34375,0.375,1,1
Coconut,0.5625,0.46875,0.4375,0.53125,0.40625,0.5,0.375,0.03125,0.25,0.1875,0.21875,0.0625,0.0625,0.0625,0,0.09375,0.125,0.15625,0.1875,0.21875,0.03125,0.25,0.375,0.40625,0.4375,1,1
Tea,0.65625,0.5625,0.53125,0.625,0.5,0.59375,0.46875,0.0625,0.34375,0.28125,0.3125,0.15625,0.03125,0.03125,0.09375,0,0.03125,0.0625,0.09375,0.125,0.125,0.15625,0.28125,0.3125,0.34375,1,1
Irrigated rice,0.6875,0.59375,0.5625,0.65625,0.53125,0.625,0.5,0.09375,0.375,0.3125,0.34375,0.1875,0.0625,0.0625,0.125,0.03125,0,0.03125,0.0625,0.09375,0.15625,0.125,0.25,0.28125,0.3125,1,1
Paddy field,0.71875,0.625,0.59375,0.6875,0.5625,0.65625,0.53125,0.125,0.40625,0.34375,0.375,0.21875,0.09375,0.09375,0.15625,0.0625,0.03125,0,0.03125,0.0625,0.1875,0.09375,0.21875,0.25,0.28125,1,1
Sugar cane,0.75,0.65625,0.625,0.71875,0.59375,0.6875,0.5625,0.15625,0.4375,0.375,0.40625,0.25,0.125,0.125,0.1875,0.09375,0.0625,0.03125,0,0.03125,0.21875,0.0625,0.1875,0.21875,0.25,1,1
Other crops ,0.78125,0.6875,0.65625,0.75,0.625,0.71875,0.59375,0.1875,0.46875,0.40625,0.4375,0.28125,0.15625,0.15625,0.21875,0.125,0.09375,0.0625,0.03125,0,0.25,0.03125,0.15625,0.1875,0.21875,1,1
Shrub ,0.53125,0.4375,0.40625,0.5,0.375,0.46875,0.34375,0.0625,0.21875,0.15625,0.1875,0.03125,0.09375,0.09375,0.03125,0.125,0.15625,0.1875,0.21875,0.25,0,0.28125,0.40625,0.4375,0.46875,1,1
Grass ,0.8125,0.71875,0.6875,0.78125,0.65625,0.75,0.625,0.21875,0.5,0.4375,0.46875,0.3125,0.1875,0.1875,0.25,0.15625,0.125,0.09375,0.0625,0.03125,0.28125,0,0.125,0.15625,0.1875,1,1
Mining,0.9375,0.84375,0.8125,0.90625,0.78125,0.875,0.75,0.34375,0.625,0.5625,0.59375,0.4375,0.3125,0.3125,0.375,0.28125,0.25,0.21875,0.1875,0.15625,0.40625,0.125,0,0.03125,0.0625,1,1
Cleared land ,0.96875,0.875,0.84375,0.9375,0.8125,0.90625,0.78125,0.375,0.65625,0.59375,0.625,0.46875,0.34375,0.34375,0.40625,0.3125,0.28125,0.25,0.21875,0.1875,0.4375,0.15625,0.03125,0,0.03125,1,1
Settlement ,1,0.90625,0.875,0.96875,0.84375,0.9375,0.8125,0.40625,0.6875,0.625,0.65625,0.5,0.375,0.375,0.4375,0.34375,0.3125,0.28125,0.25,0.21875,0.46875,0.1875,0.0625,0.03125,0,1,1
Fish pond,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
Water body,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
